R_ACGAMPM,2.879e-07,2.879e-07,{'M_acgam6p_c': 1.0},{'M_acgam1p_c': 1.0}
R_ACGKm,0.0,0.0,{'M_acglu_m': 1.0},{'M_acg5p_m': 1.0}
R_ACHLE2,-0.0,0.0,{'M_ibutac_c': 1.0},"{'M_ac_c': 1.0, 'M_ibutoh_c': 1.0}"
R_ACOAHim,0.0,0.0,{'M_accoa_m': 1.0},"{'M_coa_m': 1.0, 'M_ac_m': 1.0}"
R_ACONT3m,0.0,0.0,{'M_2mcit_m': 1.0},{'M_micit_m': 1.0}
R_ACONTm,0.11723547110000002,0.11723547110000002,{'M_cit_m': 1.0},{'M_icit_m': 1.0}
R_ACRNtm,0.0,0.0,{'M_acrn_c': 1.0},{'M_acrn_m': 1.0}
R_ACS,0.007777906399015552,0.007777906399015552,"{'M_ac_c': 1.0, 'M_coa_c': 1.0}",{'M_accoa_c': 1.0}
R_ACSm,0.1172354711,0.1172354711,"{'M_coa_m': 1.0, 'M_ac_m': 1.0}",{'M_accoa_m': 1.0}
R_ACtm,0.1172354711,0.1172354711,{'M_ac_c': 1.0},{'M_ac_m': 1.0}
R_ADA,0.0,0.0,{'M_adn_c': 1.0},{'M_ins_c': 1.0}
R_ADCL,-0.0,0.0,{'M_4adcho_c': 1.0},"{'M_pyr_c': 1.0, 'M_4abz_c': 1.0}"
R_ADD,0.0,0.0,{'M_ade_c': 1.0},{'M_hxan_c': 1.0}
R_ADMDC,0.30738852679994844,0.30738852679994844,{'M_amet_c': 1.0},"{'M_co2_c': 1.0, 'M_ametam_c': 1.0}"
R_ADNCYC,2.879e-07,2.879e-07,{'M_amp_c': 1.0},{'M_camp_c': 1.0}
R_ADNUC,8.637e-07,8.637e-07,{'M_adn_c': 1.0},"{'M_ade_c': 1.0, 'M_rib_D_c': 1.0}"
R_ADPT,0.30738939049994846,0.30738939049994846,"{'M_prpp_c': 1.0, 'M_ade_c': 1.0}",{'M_amp_c': 1.0}
R_ADSK,0.0,0.0,{'M_aps_c': 1.0},{'M_paps_c': 1.0}
R_ADSL1r,0.37645861579999995,0.37645861579999995,{'M_dcamp_c': 1.0},"{'M_fum_c': 1.0, 'M_amp_c': 1.0}"
R_ADSL2r,0.39039297579989374,0.39039297579989374,{'M_25aics_c': 1.0},"{'M_fum_c': 1.0, 'M_aicar_c': 1.0}"
R_ADSS,0.37645861579999995,0.37645861579999995,"{'M_asp_L_c': 1.0, 'M_imp_c': 1.0}",{'M_dcamp_c': 1.0}
R_AHCYStm,-8.637e-07,8.637e-07,{'M_ahcys_c': 1.0},{'M_ahcys_m': 1.0}
R_AHCi,8.637e-07,8.637e-07,{'M_ahcys_c': 1.0},"{'M_hcys_L_c': 1.0, 'M_adn_c': 1.0}"
R_AHSERL2,0.0,0.0,{'M_achms_c': 1.0},"{'M_ac_c': 1.0, 'M_hcys_L_c': 1.0}"
R_AICART,0.39039297579989374,0.39039297579989374,"{'M_aicar_c': 1.0, 'M_10fthf_c': 1.0}","{'M_fprica_c': 1.0, 'M_thf_c': 1.0}"
R_AIRCr,0.39039297579989374,0.39039297579989374,"{'M_co2_c': 1.0, 'M_air_c': 1.0}",{'M_5aizc_c': 1.0}
R_AKGDam,2.3032e-06,2.3032e-06,"{'M_akg_m': 1.0, 'M_lpam_m': 1.0}","{'M_sdhlam_m': 1.0, 'M_co2_m': 1.0}"
R_AKGDbm,2.3032e-06,2.3032e-06,"{'M_coa_m': 1.0, 'M_sdhlam_m': 1.0}","{'M_succoa_m': 1.0, 'M_dhlam_m': 1.0}"
R_ALASm,2.3032e-06,2.3032e-06,"{'M_succoa_m': 1.0, 'M_gly_m': 1.0}","{'M_coa_m': 1.0, 'M_5aop_m': 1.0, 'M_co2_m': 1.0}"
R_ALATA_L,-0.13208852,0.13208852,"{'M_akg_c': 1.0, 'M_ala_L_c': 1.0}","{'M_glu_L_c': 1.0, 'M_pyr_c': 1.0}"
R_ALAtmi,-0.0,0.0,{'M_ala_L_m': 1.0},{'M_ala_L_c': 1.0}
R_ALCD22xi,0.0,0.0,{'M_2mbald_c': 1.0},{'M_2mbtoh_c': 1.0}
R_ALCD22yi,0.0,0.0,{'M_2mbald_c': 1.0},{'M_2mbtoh_c': 1.0}
R_ALCD23xi,0.0,0.0,{'M_2mppal_c': 1.0},{'M_ibutoh_c': 1.0}
R_ALCD23xim,0.0,0.0,{'M_2mppal_m': 1.0},{'M_ibutoh_m': 1.0}
R_ALCD24xi,0.0,0.0,{'M_3mbald_c': 1.0},{'M_iamoh_c': 1.0}
R_ALCD24xim,0.0,0.0,{'M_3mbald_m': 1.0},{'M_iamoh_m': 1.0}
R_ALCD25xi,0.0,0.0,{'M_pacald_c': 1.0},{'M_2phetoh_c': 1.0}
R_ALCD25xim,0.0,0.0,{'M_pacald_m': 1.0},{'M_2phetoh_m': 1.0}
R_ALCD26xi,0.0,0.0,{'M_id3acald_c': 1.0},{'M_ind3eth_c': 1.0}
R_ALCD2if,0.0,0.0,{'M_etoh_c': 1.0},{'M_acald_c': 1.0}
