YGR193C,YGR193C_211_34_0.07,YGR193C_220_34_-0.07
YPR184W,YPR184W_195_31_0.84,YPR184W_135_24_-0.84
YJL153C,YJL153C_48_11_-0.82,YJL153C_71_14_0.82
YHR216W,YHR216W_896_63_-3.59,YHR216W_4501_92_3.59
YDR481C,YDR481C_147_27_-0.79,YDR481C_227_35_0.79
YPL147W,YPL147W_14_3_-0.14,YPL147W_15_1_0.14
YBR035C,YBR035C_1333_70_-0.65,YBR035C_1781_80_0.65
YER070W,YER070W_1997_78_3.91,YER070W_330_45_-3.91
YNR043W,YNR043W_2457_81_1.41,YNR043W_1367_75_-1.41
YGR289C,YGR289C_75_15_0.72,YGR289C_53_10_-0.72
YHL016C,YHL016C_79_17_0.16,YHL016C_81_14_-0.16
YNL192W,YNL192W_392_47_0.03,YNL192W_412_49_-0.03
Q0275,Q0275___0,Q0275___0
YLR447C,YLR447C_2006_77_0.61,YLR447C_1586_77_-0.61
YMR113W,YMR113W_326_42_-0.78,YMR113W_456_52_0.78
YBR184W,YBR184W_30_6_-2.43,YBR184W_87_18_2.43
YDR037W,YDR037W_3347_87_0.04,YDR037W_3254_88_-0.04
YPR138C,YPR138C_687_59_4.2,YPR138C_106_20_-4.2
YGR171C,YGR171C_131_26_0.45,YGR171C_112_21_-0.45
YMR217W,YMR217W_4798_94_0.73,YMR217W_3422_89_-0.73
YOR209C,YOR209C_599_56_-0.09,YOR209C_631_59_0.09
YMR296C,YMR296C_797_62_-0.07,YMR296C_838_65_0.07
YBR023C,YBR023C_1320_71_2.15,YBR023C_495_53_-2.15
YLR060W,YLR060W_7062_97_0.59,YLR060W_5562_94_-0.59
YBR069C,YBR069C_582_55_2.09,YBR069C_250_36_-2.09
YDR232W,YDR232W_535_52_2.78,YDR232W_287_27_-2.78
YPL117C,YPL117C_648_56_-0.67,YPL117C_864_66_0.67
YDR513W,YDR513W_3790_90_-1.02,YDR513W_6418_95_1.02
YDR483W,YDR483W_1844_75_1.07,YDR483W_1109_72_-1.07
YPR069C,YPR069C_1761_75_0.82,YPR069C_1217_74_-0.82
YGR170W,YGR170W_107_22_0.71,YGR170W_79_15_-0.71
YNL202W,YNL202W_58_13_-3.91,YNL202W_378_47_3.91
YMR293C,YMR293C_89_18_0.2,YMR293C_77_15_-0.2
YNL292W,YNL292W_293_40_1.13,YNL292W_205_31_-1.13
YBR180W,YBR180W___0,YBR180W___0
YLR372W,YLR372W_6834_97_1.87,YLR372W_2884_87_-1.87
YJL216C,YJL216C___0,YJL216C___0
YDL040C,YDL040C_472_50_-0.07,YDL040C_512_53_0.07
YKL120W,YKL120W_5744_95_0.36,YKL120W_5282_93_-0.36
YHR096C,YHR096C_107_22_-2.64,YHR096C_452_48_2.64
YJL167W,YJL167W_3530_88_-1.03,YJL167W_5885_95_1.03
YNR072W,YNR072W___0,YNR072W___0
YOR126C,YOR126C_107_22_-0.89,YOR126C_161_30_0.89
YNL101W,YNL101W_777_61_0.89,YNL101W_574_54_-0.89
YEL051W,YEL051W_600_55_-0.01,YEL051W_594_57_0.01
YJL071W,YJL071W_231_36_0.19,YJL071W_221_35_-0.19
YBR093C,YBR093C_24_5_0.03,YBR093C_22_3_-0.03
YPL214C,YPL214C_159_28_0.6,YPL214C_123_24_-0.6
YJR010W,YJR010W_121_24_-0.29,YJR010W_139_27_0.29
YEL063C,YEL063C_427_48_3.66,YEL063C_152_15_-3.66
YDR345C,YDR345C_4588_93_2.13,YDR345C_1919_80_-2.13
YJL130C,YJL130C_3627_88_-0.99,YJL130C_5969_94_0.99
YGL008C,YGL008C_7562_97_3.6,YGL008C_2521_77_-3.6
YHR063C,YHR063C_568_54_-0.46,YHR063C_712_61_0.46
YML035C,YML035C_189_31_0.33,YML035C_160_30_-0.33
YDR023W,YDR023W_3784_89_-0.2,YDR023W_4122_92_0.2
YGR121C,YGR121C_136_25_0.39,YGR121C_102_21_-0.39
YOR108W,YOR108W_772_61_1.61,YOR108W_378_48_-1.61
YBR038W,YBR038W_356_44_2.33,YBR038W_133_24_-2.33
YDL095W,YDL095W_709_59_1.07,YDL095W_544_51_-1.07
YML100W,YML100W_1159_68_-0.28,YML100W_1417_75_0.28
YNL256W,YNL256W_195_32_0.39,YNL256W_164_30_-0.39
YOR323C,YOR323C_1656_73_1.19,YOR323C_1056_67_-1.19
YLR303W,YLR303W_2612_82_-0.81,YLR303W_4597_90_0.81
YML075C,YML075C_4114_91_0.39,YML075C_3551_89_-0.39
YKL140W,YKL140W_724_58_0.6,YKL140W_568_54_-0.6
YBL068W,YBL068W_1011_66_-0.03,YBL068W_1043_69_0.03
YPL087W,YPL087W_721_59_-1.26,YPL087W_1298_75_1.26
YDR135C,YDR135C_553_54_1.34,YDR135C_299_43_-1.34
YGR094W,YGR094W_1924_77_0.83,YGR094W_1364_75_-0.83
YBR019C,YBR019C_49_11_-3.62,YBR019C_288_40_3.62
YPR047W,YPR047W_25_5_-1.36,YPR047W_49_8_1.36
YBR001C,YBR001C_280_40_0.08,YBR001C_293_41_-0.08
YPL258C,YPL258C_62_14_-0.55,YPL258C_81_16_0.55
YNR016C,YNR016C_4196_91_-1.3,YNR016C_7681_97_1.3
YCR034W,YCR034W_1904_76_2.16,YCR034W_673_61_-2.16
YGR043C,YGR043C_162_29_-2.78,YGR043C_907_57_2.78
YGR055W,YGR055W_1032_66_0.31,YGR055W_880_66_-0.31
YKL188C,YKL188C_38_7_-1.56,YKL188C_74_14_1.56
YMR006C,YMR006C_124_25_0.5,YMR006C_104_20_-0.5
YOL156W,YOL156W___0,YOL156W___0
YDL022W,YDL022W_3426_87_1.59,YDL022W_1748_79_-1.59
YER024W,YER024W_53_12_-2.93,YER024W_224_34_2.93
YLR307W,YLR307W_1_1_-2.94,YLR307W_14_0_2.94
YBR058C-A,YBR058C-A___0,YBR058C-A___0
YPL273W,YPL273W_1535_72_2.94,YPL273W_574_49_-2.94
YOR375C,YOR375C_2398_80_0.44,YOR375C_2054_83_-0.44
YKL055C,YKL055C_77_16_1.06,YKL055C_68_8_-1.06
YGR248W,YGR248W_280_39_-0.94,YGR248W_417_51_0.94
YKL216W,YKL216W_8323_98_0.78,YKL216W_5880_95_-0.78
YDL171C,YDL171C_1677_74_0.8,YDL171C_1319_73_-0.8
YDR035W,YDR035W_1997_78_0.88,YDR035W_1415_76_-0.88
YOL058W,YOL058W_692_59_-0.92,YOL058W_1171_70_0.92
YOL033W,YOL033W_86_18_-0.09,YOL033W_90_18_0.09
YML126C,YML126C_3340_87_2.92,YML126C_1047_67_-2.92
YLR258W,YLR258W_428_49_-0.53,YLR258W_819_56_0.53
YHR208W,YHR208W_2202_79_1.1,YHR208W_1422_76_-1.1
YML054C,YML054C_390_46_-1.99,YML054C_1000_69_1.99
YOR136W,YOR136W_4174_91_-0.54,YOR136W_5875_94_0.54
YBR208C,YBR208C_67_15_-0.64,YBR208C_92_18_0.64
YPL069C,YPL069C_98_21_1.97,YPL069C_51_6_-1.97
YLR070C,YLR070C_49_11_-0.54,YLR070C_62_12_0.54
YDR234W,YDR234W_272_37_-0.27,YDR234W_285_42_0.27
YCR012W,YCR012W_15792_100_1.76,YCR012W_8937_96_-1.76
YOR202W,YOR202W_960_65_0.28,YOR202W_842_65_-0.28
YAL062W,YAL062W_21_4_-1.36,YAL062W_64_5_1.36
YOR236W,YOR236W_173_30_-0.91,YOR236W_296_40_0.91
YDR353W,YDR353W_1638_73_1.21,YDR353W_923_68_-1.21
YNL220W,YNL220W_2096_78_-2.03,YNL220W_5340_94_2.03
YDR343C,YDR343C_4726_94_0.64,YDR343C_3532_89_-0.64
YBR153W,YBR153W_258_38_0.33,YBR153W_228_36_-0.33
YNR057C,YNR057C_82_18_-0.42,YNR057C_100_21_0.42
YJL198W,YJL198W_1269_68_0.9,YJL198W_776_63_-0.9
YMR261C,YMR261C_553_55_0.83,YMR261C_456_48_-0.83
YNL052W,YNL052W_4980_94_3.63,YNL052W_1786_68_-3.63
YFL018C,YFL018C_1072_67_-0.49,YFL018C_1526_75_0.49
YKL192C,YKL192C_6888_96_0.68,YKL192C_4909_93_-0.68
YGR007W,YGR007W_318_42_0.72,YGR007W_228_37_-0.72
YGL055W,YGL055W_4456_93_-0.5,YGL055W_5611_95_0.5
YOR071C,YOR071C_57_12_-2.01,YOR071C_151_28_2.01
YOL055C,YOL055C_67_14_-2.62,YOL055C_227_35_2.62
YGR264C,YGR264C_4490_92_1.57,YGR264C_2284_84_-1.57
YOR347C,YOR347C_101_21_-0.08,YOR347C_119_21_0.08
YHR074W,YHR074W_202_33_-0.1,YHR074W_212_35_0.1
YJL166W,YJL166W_3544_88_-1.53,YJL166W_7338_96_1.53
YGL234W,YGL234W_2606_82_3.51,YGL234W_648_54_-3.51
YHR019C,YHR019C_1893_76_0.24,YHR019C_1744_79_-0.24
YIR028W,YIR028W_94_20_-0.02,YIR028W_101_19_0.02
YER061C,YER061C_122_24_0.53,YER061C_100_19_-0.53
YNL073W,YNL073W_316_41_1.87,YNL073W_146_26_-1.87
YPR128C,YPR128C_566_55_1.19,YPR128C_325_44_-1.19
YJR152W,YJR152W_66_14_-1.57,YJR152W_141_26_1.57
YER003C,YER003C_1914_77_0.63,YER003C_1452_77_-0.63
YBR085W,YBR085W_91_19_0.89,YBR085W_64_11_-0.89
YKL106W,YKL106W_1058_67_0.27,YKL106W_953_68_-0.27
YMR271C,YMR271C_26_5_-6.87,YMR271C_649_60_6.87
YGR260W,YGR260W_2193_78_2.74,YGR260W_811_57_-2.74
YKL080W,YKL080W_2660_83_-0.96,YKL080W_4268_92_0.96
YJL026W,YJL026W_2759_84_2.19,YJL026W_1170_70_-2.19
YMR085W,YMR085W___0,YMR085W___0
YLL012W,YLL012W_589_56_1.52,YLL012W_292_42_-1.52
YCL004W,YCL004W_39_8_4.61,YCL004W_10_0_-4.61
YBR291C,YBR291C_559_55_1.39,YBR291C_293_43_-1.39
YOL136C,YOL136C_272_39_3.09,YOL136C_84_13_-3.09
YPL275W,YPL275W___0,YPL275W___0
YOR155C,YOR155C_198_32_-0.14,YOR155C_241_34_0.14
YOR278W,YOR278W_304_41_-0.08,YOR278W_310_44_0.08
YOR074C,YOR074C_75_16_-0.62,YOR074C_99_20_0.62
YJL045W,YJL045W_13_2_-4.3,YJL045W_66_13_4.3
YGR208W,YGR208W_333_42_-0.04,YGR208W_342_45_0.04
YGL224C,YGL224C_393_46_-0.48,YGL224C_503_53_0.48
YDR072C,YDR072C_260_38_0.26,YDR072C_242_37_-0.26
YDR503C,YDR503C_122_24_0.84,YDR503C_82_16_-0.84
YIL053W,YIL053W_4385_92_2.2,YIL053W_1709_78_-2.2
YPL091W,YPL091W_1025_67_-0.06,YPL091W_1072_71_0.06
YKR031C,YKR031C_426_48_0.52,YKR031C_417_44_-0.52
YPL028W,YPL028W_6428_96_-0.25,YPL028W_7328_96_0.25
YLL028W,YLL028W_932_65_2.58,YLL028W_285_42_-2.58
YOL056W,YOL056W_91_18_-2.46,YOL056W_265_40_2.46
YLR027C,YLR027C_3439_86_-0.24,YLR027C_3414_89_0.24
YGL245W,YGL245W_2497_82_-0.05,YGL245W_2590_86_0.05
YPL059W,YPL059W_1651_73_0.88,YPL059W_1132_72_-0.88
YFL053W,YFL053W___0,YFL053W___0
YLR164W,YLR164W_102_21_0.02,YLR164W_102_21_-0.02
YGR254W,YGR254W_1911_67_2.3,YGR254W_539_49_-2.3
YDL093W,YDL093W_140_27_1.84,YDL093W_65_12_-1.84
YDR441C,YDR441C_377_43_2.22,YDR441C_124_24_-2.22
YDR508C,YDR508C_2037_77_3.76,YDR508C_482_46_-3.76
YDL174C,YDL174C_1222_68_0.01,YDL174C_1297_73_-0.01
YIL145C,YIL145C_112_23_-1.02,YIL145C_182_32_1.02
YHR018C,YHR018C_934_65_-0.38,YHR018C_1273_72_0.38
YPL188W,YPL188W_449_50_1.83,YPL188W_198_33_-1.83
YNL141W,YNL141W_586_56_2.63,YNL141W_183_32_-2.63
YBL042C,YBL042C_436_48_0.85,YBL042C_341_41_-0.85
YPL078C,YPL078C_1038_65_-0.62,YPL078C_1231_74_0.62
YIL074C,YIL074C_238_37_-0.47,YIL074C_315_43_0.47
YOR335C,YOR335C_1420_72_0.35,YOR335C_1204_74_-0.35
YJL126W,YJL126W_161_28_-0.14,YJL126W_178_31_0.14
YPR026W,YPR026W_152_28_-0.35,YPR026W_181_32_0.35
YMR008C,YMR008C_793_60_2.57,YMR008C_343_36_-2.57
YDR399W,YDR399W_1680_74_1.23,YDR399W_1054_68_-1.23
YKL024C,YKL024C_3777_89_-1.72,YKL024C_8279_97_1.72
YDL185W,YDL185W_1867_76_0.72,YDL185W_1345_76_-0.72
YKL181W,YKL181W_4942_94_-0.59,YKL181W_6497_96_0.59
YJR133W,YJR133W_2357_80_0.03,YJR133W_2315_86_-0.03
YGR192C,YGR192C_19497_101_2.61,YGR192C_13260_95_-2.61
YJR073C,YJR073C_529_52_-0.2,YJR073C_901_55_0.2
YDL078C,YDL078C_1146_67_0.29,YDL078C_982_68_-0.29
YLR377C,YLR377C_34_7_-1.12,YLR377C_55_11_1.12
YMR226C,YMR226C_8849_98_-0.05,YMR226C_9235_98_0.05
YGL037C,YGL037C_2830_84_-0.84,YGL037C_4540_92_0.84
YDR502C,YDR502C_1018_66_-0.35,YDR502C_1133_72_0.35
YJL052W,YJL052W_550_51_-7.14,YJL052W_13630_99_7.14
YIR034C,YIR034C_665_57_0.43,YIR034C_531_55_-0.43
YKL008C,YKL008C_1394_71_1.12,YKL008C_827_65_-1.12
YGL040C,YGL040C_557_53_0.79,YGL040C_400_48_-0.79
YEL046C,YEL046C_1574_72_4.53,YEL046C_455_33_-4.53
YNL009W,YNL009W_49_10_-0.72,YNL009W_68_13_0.72
YMR169C,YMR169C_254_37_-2.13,YMR169C_1144_61_2.13
YPR183W,YPR183W_696_50_3.9,YPR183W_191_15_-3.9
YJR057W,YJR057W_220_34_-0.79,YJR057W_297_43_0.79
YGL184C,YGL184C_104_22_-0.54,YGL184C_136_27_0.54
YDR204W,YDR204W_188_30_-0.56,YDR204W_245_36_0.56
YOR184W,YOR184W_1771_75_1.07,YOR184W_1208_71_-1.07
YGR012W,YGR012W_62_13_-1.59,YGR012W_123_24_1.59
YMR145C,YMR145C_2807_84_0.73,YMR145C_2005_83_-0.73
YBR183W,YBR183W_847_62_0.25,YBR183W_799_63_-0.25
YPR074C,YPR074C_4166_91_1.5,YPR074C_2146_83_-1.5
YDR300C,YDR300C_574_55_-0.14,YDR300C_777_59_0.14
YGL253W,YGL253W_5097_95_3.16,YGL253W_2279_73_-3.16
YJR139C,YJR139C_9845_99_-1.11,YJR139C_17058_99_1.11
YML081C-A,YML081C-A___0,YML081C-A___0
YLR017W,YLR017W_416_47_0.8,YLR017W_270_41_-0.8
YMR319C,YMR319C_177_30_1.81,YMR319C_75_15_-1.81
YBR029C,YBR029C_723_60_1.26,YBR029C_409_51_-1.26
YJL101C,YJL101C_165_29_1.07,YJL101C_103_21_-1.07
YLR351C,YLR351C_2491_81_0.02,YLR351C_2527_86_-0.02
YLR011W,YLR011W_15_3_-4.85,YLR011W_108_22_4.85
YDL198C,YDL198C_690_58_-0.47,YDL198C_948_66_0.47
YBR298C,YBR298C_44_10_1.06,YBR298C_26_3_-1.06
YBR068C,YBR068C_1898_76_2.64,YBR068C_699_56_-2.64
YPR033C,YPR033C_1657_74_-0.29,YPR033C_2010_81_0.29
YHR068W,YHR068W_2557_82_-0.21,YHR068W_2921_87_0.21
YDR019C,YDR019C_2479_81_5.3,YDR019C_260_35_-5.3
YJL068C,YJL068C_230_34_-1.13,YJL068C_368_47_1.13
YDR050C,YDR050C_18238_100_0.03,YDR050C_21053_100_-0.03
YPR160W,YPR160W_253_37_-1.41,YPR160W_507_53_1.41
YCR024C-A,YCR024C-A___0,YCR024C-A___0
YBR034C,YBR034C_636_57_0.11,YBR034C_616_58_-0.11
YBL015W,YBL015W_37_8_-3.54,YBL015W_235_33_3.54
YAL054C,YAL054C_308_41_0.25,YAL054C_278_40_-0.25
YDR384C,YDR384C_359_43_-1.74,YDR384C_865_64_1.74
YLR195C,YLR195C_446_49_0.68,YLR195C_315_44_-0.68
YDR315C,YDR315C_36_8_-0.17,YDR315C_38_5_0.17
YCL069W,YCL069W___0,YCL069W___0
YPR167C,YPR167C_69_15_-0.71,YPR167C_97_20_0.71
YIL043C,YIL043C_5991_96_1.09,YIL043C_4161_90_-1.09
YFR033C,YFR033C_1334_71_-2.65,YFR033C_4488_92_2.65
YOR120W,YOR120W_266_38_-4.56,YOR120W_2457_85_4.56
YGL205W,YGL205W_10_2_-1.39,YGL205W_19_2_1.39
YOR393W,YOR393W___0,YOR393W___0
YDR047W,YDR047W_509_52_-0.98,YDR047W_828_65_0.98
YGR124W,YGR124W_2433_81_0.52,YGR124W_1925_82_-0.52
YPR081C,YPR081C_44_10_-2.09,YPR081C_121_23_2.09
YBR026C,YBR026C_179_31_-1.85,YBR026C_448_51_1.85
YGR247W,YGR247W_33_7_0.13,YGR247W_36_4_-0.13
YGR088W,YGR088W_226_36_-2.59,YGR088W_812_63_2.59
YLR300W,YLR300W_3592_88_3.68,YLR300W_1155_60_-3.68
YOR163W,YOR163W_238_36_-0.89,YOR163W_361_47_0.89
YIL125W,YIL125W_1629_73_0.34,YIL125W_1556_76_-0.34
YNL129W,YNL129W_114_22_-1.75,YNL129W_244_38_1.75
YOR270C,YOR270C_8790_98_-1.03,YOR270C_15274_99_1.03
YJR103W,YJR103W_185_31_-2.69,YJR103W_699_59_2.69
YKL174C,YKL174C_508_53_-0.82,YKL174C_828_63_0.82
YLR304C,YLR304C_4231_92_1.72,YLR304C_2105_82_-1.72
YLR058C,YLR058C_4403_92_3.02,YLR058C_1070_71_-3.02
YFL017C,YFL017C_496_52_-0.25,YFL017C_577_56_0.25
YLR028C,YLR028C_747_61_2.3,YLR028C_306_40_-2.3
YIR031C,YIR031C_12_3_-3.2,YIR031C_52_9_3.2
YDR341C,YDR341C_6046_96_1.19,YDR341C_3691_89_-1.19
YCL025C,YCL025C_409_47_2.03,YCL025C_163_29_-2.03
YGL001C,YGL001C_1850_76_1.01,YGL001C_1193_73_-1.01
YER081W,YER081W_54_12_-3.05,YER081W_246_35_3.05
YFR053C,YFR053C_826_62_-1.13,YFR053C_1713_76_1.13
YHR092C,YHR092C_34_5_-1.66,YHR092C_52_10_1.66
YDR148C,YDR148C_493_51_0.37,YDR148C_587_51_-0.37
YLR189C,YLR189C_250_37_-0.1,YLR189C_264_40_0.1
YNL270C,YNL270C_64_14_0.73,YNL270C_45_7_-0.73
YDL247W,YDL247W___0,YDL247W___0
YBR256C,YBR256C_84_18_-0.62,YBR256C_110_23_0.62
YJR049C,YJR049C_41_9_-1.73,YJR049C_93_18_1.73
YAL012W,YAL012W_1249_62_1.72,YAL012W_359_47_-1.72
YER099C,YER099C_388_47_0.12,YER099C_405_48_-0.12
YBR299W,YBR299W_7_1_-1.86,YBR299W_16_1_1.86
YCL035C,YCL035C_2462_80_-3.05,YCL035C_10049_98_3.05
YDL168W,YDL168W_382_45_0.7,YDL168W_295_41_-0.7
YLR134W,YLR134W_403_47_1.86,YLR134W_173_31_-1.86
YML042W,YML042W_35_8_-1.86,YML042W_84_17_1.86
YKL146W,YKL146W_2091_77_1.34,YKL146W_1049_71_-1.34
YBR020W,YBR020W_8_1_2.61,YBR020W_2_0_-2.61
YDL080C,YDL080C_132_26_0.47,YDL080C_134_22_-0.47
YMR062C,YMR062C_422_49_0.52,YMR062C_337_45_-0.52
YKR067W,YKR067W_297_41_-1.78,YKR067W_736_61_1.78
YDR368W,YDR368W_1196_69_-1.17,YDR368W_2394_84_1.17
YDR268W,YDR268W_52_12_-1.33,YDR268W_98_20_1.33
YER091C,YER091C_3107_86_4.01,YER091C_627_53_-4.01
YOL064C,YOL064C_463_50_-1.08,YOL064C_783_63_1.08
YOR221C,YOR221C_223_35_0.55,YOR221C_204_31_-0.55
YJL060W,YJL060W_69_13_0.26,YJL060W_64_9_-0.26
YPL061W,YPL061W_4485_93_2.92,YPL061W_1219_73_-2.92
YLR240W,YLR240W_219_35_-0.11,YLR240W_231_37_0.11
YER174C,YER174C_735_57_0.09,YER174C_653_59_-0.09
YPR062W,YPR062W_4181_91_0.19,YPR062W_3901_90_-0.19
YIR032C,YIR032C_66_14_-0.13,YIR032C_72_13_0.13
YDR402C,YDR402C___0,YDR402C___0
YNL142W,YNL142W_93_20_1.64,YNL142W_49_6_-1.64
YHR144C,YHR144C_485_51_-0.27,YHR144C_557_55_0.27
YLR153C,YLR153C_3344_88_1.84,YLR153C_1857_77_-1.84
YMR313C,YMR313C_236_36_1.64,YMR313C_115_23_-1.64
YGL062W,YGL062W_446_49_-3.06,YGL062W_1909_80_3.06
YEL024W,YEL024W_5819_96_4.06,YEL024W_2395_67_-4.06
YDR380W,YDR380W_1685_74_1.44,YDR380W_867_67_-1.44
YMR300C,YMR300C_88_19_0.76,YMR300C_63_12_-0.76
YDL004W,YDL004W_2652_83_0.41,YDL004W_2254_85_-0.41
YMR011W,YMR011W_3188_86_3.2,YMR011W_755_62_-3.2
YIL107C,YIL107C_23_5_-2.21,YIL107C_68_13_2.21
YMR205C,YMR205C_5124_94_2.41,YMR205C_1959_78_-2.41
YNL130C,YNL130C_4069_91_0.55,YNL130C_3265_88_-0.55
YDR272W,YDR272W_151_27_-2.24,YDR272W_449_50_2.24
